class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
up,0.567575752735138,0.588800072669983,-1.48190104961395,0.999257147312164,0.597662687301636,0.496850281953812,-1.41996240615845,0.998581051826477,0.617368578910828,0.495108127593994,-1.42016756534576,0.998869597911835,0.639183640480042,0.49478816986084,-1.42069947719574,0.998578310012817,0.527363657951355,0.49802839756012,-1.41472387313843,0.99831235408783,0.50422328710556,0.496496558189392,-1.41372799873352,0.998588263988495,0.483164221048355,0.498265385627747,-1.41426944732666,0.998167157173157,0.675667464733124,0.521229028701782,-0.857596516609192,0.998987853527069,0.45537942647934,0.527765274047852,-0.810757994651794,0.998734772205353,0.610612154006958,0.666148543357849,-1.25962924957275,0.99953293800354,0.526137053966522,0.669557809829712,-1.24652433395386,0.999305248260498,0.859971821308136,0.921813726425171,-0.412906259298325,0.997410833835602,0.330563485622406,0.853337287902832,-0.460085809230804,0.997682332992554,0.942436397075653,1.36686968803406,-0.17829042673111,0.177410840988159,0.213630154728889,1.31095516681671,-0.406839519739151,0.27634134888649,0.92799985408783,1.78390097618103,-0.51326858997345,0.0290116164833307,0.194518685340881,1.73250710964203,-1.12811481952667,0.0378928072750568,0.950184524059296,1.92651224136353,-0.620733618736267,0.0372386686503887,0.154612749814987,1.88360738754272,-1.32328760623932,0.0481553003191948,0.916782259941101,1.92604613304138,-0.759964764118195,0.0590880140662193,0.207358986139297,1.88784098625183,-1.45365560054779,0.0744280889630318,0.891613602638245,1.87143111228943,-0.589167714118958,0.0575868748128414,0.234312146902084,1.83037972450256,-1.21092545986176,0.0727401673793793,0.756848752498627,1.8172253370285,-0.0794892683625221,0.00109219725709409,0.398517906665802,1.80102336406708,0.08584363758564,0.000897958991117775,0.738546907901764,2.62570714950562,-0.180732995271683,0.000728674756828696,0.399830669164658,2.60755920410156,0.0259735975414515,0.000408216466894373,0.737835168838501,3.36697745323181,0.563099980354309,0.000151320156874135,0.421052694320679,3.35255599021912,0.484414994716644,2.51931796810823E-05,0.748166739940643,3.48096227645874,0.58702290058136,0.00012510061787907,0.422481834888458,3.46612644195557,0.497033447027206,8.84160763234831E-05,0.673868715763092,3.58546590805054,-0.290313869714737,0.000121054355986416,0.459444433450699,3.57869482040405,-0.436209827661514,0.00010979340004269
up,0.567575752735138,0.588800072669983,-1.48190104961395,0.999257147312164,0.597662687301636,0.496850281953812,-1.41996240615845,0.998581051826477,0.617368578910828,0.495108127593994,-1.42016756534576,0.998869597911835,0.639183640480042,0.49478816986084,-1.42069947719574,0.998578310012817,0.527363657951355,0.49802839756012,-1.41472387313843,0.99831235408783,0.50422328710556,0.496496558189392,-1.41372799873352,0.998588263988495,0.483164221048355,0.498265385627747,-1.41426944732666,0.998167157173157,0.675667464733124,0.521229028701782,-0.857596516609192,0.998987853527069,0.45537942647934,0.527765274047852,-0.810757994651794,0.998734772205353,0.610612154006958,0.666148543357849,-1.25962924957275,0.99953293800354,0.526137053966522,0.669557809829712,-1.24652433395386,0.999305248260498,0.859971821308136,0.921813726425171,-0.412906259298325,0.997410833835602,0.330563485622406,0.853337287902832,-0.460085809230804,0.997682332992554,0.942436397075653,1.36686968803406,-0.17829042673111,0.177410840988159,0.213630154728889,1.31095516681671,-0.406839519739151,0.27634134888649,0.92799985408783,1.78390097618103,-0.51326858997345,0.0290116164833307,0.194518685340881,1.73250710964203,-1.12811481952667,0.0378928072750568,0.950184524059296,1.92651224136353,-0.620733618736267,0.0372386686503887,0.154612749814987,1.88360738754272,-1.32328760623932,0.0481553003191948,0.916782259941101,1.92604613304138,-0.759964764118195,0.0590880140662193,0.207358986139297,1.88784098625183,-1.45365560054779,0.0744280889630318,0.891613602638245,1.87143111228943,-0.589167714118958,0.0575868748128414,0.234312146902084,1.83037972450256,-1.21092545986176,0.0727401673793793,0.756848752498627,1.8172253370285,-0.0794892683625221,0.00109219725709409,0.398517906665802,1.80102336406708,0.08584363758564,0.000897958991117775,0.738546907901764,2.62570714950562,-0.180732995271683,0.000728674756828696,0.399830669164658,2.60755920410156,0.0259735975414515,0.000408216466894373,0.737835168838501,3.36697745323181,0.563099980354309,0.000151320156874135,0.421052694320679,3.35255599021912,0.484414994716644,2.51931796810823E-05,0.748166739940643,3.48096227645874,0.58702290058136,0.00012510061787907,0.422481834888458,3.46612644195557,0.497033447027206,8.84160763234831E-05,0.673868715763092,3.58546590805054,-0.290313869714737,0.000121054355986416,0.459444433450699,3.57869482040405,-0.436209827661514,0.00010979340004269
up,0.529678821563721,0.108959101140499,-0.312489897012711,0.999986529350281,0.534330427646637,0.101452119648457,-0.294579535722733,0.999960243701935,0.537457406520844,0.102816604077816,-0.294594675302506,0.999952256679535,0.540296614170075,0.104344114661217,-0.294620394706726,0.999955475330353,0.52508682012558,0.100353479385376,-0.296851962804794,0.999965846538544,0.521482944488525,0.10120215266943,-0.296894729137421,0.999960422515869,0.517996966838837,0.102326571941376,-0.296905398368835,0.99996429681778,0.54396665096283,0.119625955820084,-0.182335779070854,0.999884903430939,0.511395812034607,0.117210008203983,-0.193298205733299,0.999918460845947,0.535405278205872,0.128404468297958,-0.270259201526642,0.999970734119415,0.522966742515564,0.127613544464111,-0.273548096418381,0.999974668025971,0.571037113666534,0.230126962065697,-0.101340837776661,0.99984610080719,0.480741918087006,0.218538761138916,-0.117795087397099,0.999923288822174,0.583702027797699,0.342894017696381,-0.0439727641642094,0.956693947315216,0.465823441743851,0.337331086397171,-0.0718167349696159,0.951664686203003,0.58122044801712,0.437605202198029,-0.133026286959648,0.870686531066895,0.465249210596085,0.433568060398102,-0.145182862877846,0.87411230802536,0.581674337387085,0.474014431238174,-0.156398013234139,0.789385378360748,0.463479459285736,0.467647761106491,-0.171765103936195,0.809937357902527,0.574284315109253,0.467781484127045,-0.189127892255783,0.799758791923523,0.470669358968735,0.464513599872589,-0.201989561319351,0.819125354290009,0.572283089160919,0.457452893257141,-0.147786468267441,0.77499121427536,0.473429501056671,0.454851239919663,-0.158740103244782,0.800257742404938,0.551548004150391,0.455472588539124,0.00318943173624575,0.999688744544983,0.49548950791359,0.449545562267303,-0.00319349765777588,0.999835908412933,0.556089997291565,0.628242313861847,-0.036442868411541,0.971290826797485,0.488498836755753,0.628738045692444,-0.0416147001087666,0.983088135719299,0.567293763160706,0.809763133525848,0.0557431429624558,0.954116702079773,0.481311321258545,0.814320147037506,0.07206179946661,0.981450140476227,0.559374034404755,0.843660712242127,0.0587276145815849,0.880335032939911,0.487588405609131,0.842762768268585,0.0719866827130318,0.877990782260895,0.60274875164032,0.856904685497284,-0.0742930024862289,0.951308965682983,0.465710312128067,0.856747806072235,-0.059982281178236,0.972012937068939
up,0.529401957988739,0.109266072511673,-0.304453670978546,0.999986708164215,0.534185469150543,0.101344808936119,-0.286536663770676,0.999960362911224,0.537264049053192,0.102756083011627,-0.286558330059052,0.999952495098114,0.540163934230804,0.104225017130375,-0.286582082509995,0.999955356121063,0.524815201759338,0.100084699690342,-0.288508355617523,0.999966323375702,0.521266043186188,0.100881896913052,-0.288549870252609,0.999960958957672,0.517862558364868,0.101937763392925,-0.28856161236763,0.999964654445648,0.543944180011749,0.119284115731716,-0.174087733030319,0.99988603591919,0.511381208896637,0.116568930447102,-0.184265941381454,0.999920248985291,0.535332381725311,0.128881677985191,-0.262149691581726,0.999970197677612,0.522630751132965,0.12828066945076,-0.265169262886047,0.999974310398102,0.571121573448181,0.230014935135841,-0.0970541909337044,0.999843180179596,0.48071762919426,0.217514514923096,-0.108748279511929,0.999926805496216,0.583712637424469,0.342726737260819,-0.0487434267997742,0.955921173095703,0.465188443660736,0.337078660726547,-0.0697406083345413,0.952817142009735,0.5812748670578,0.436485856771469,-0.137176439166069,0.866914391517639,0.465187519788742,0.433994829654694,-0.144014626741409,0.876771986484528,0.581723868846893,0.473227798938751,-0.157751843333244,0.783102810382843,0.463358074426651,0.468526005744934,-0.170920893549919,0.811927139759064,0.574428260326386,0.466765642166138,-0.196581393480301,0.793870449066162,0.470650315284729,0.465674787759781,-0.201094046235085,0.821268320083618,0.572344541549683,0.456044614315033,-0.153716966509819,0.76801198720932,0.473376363515854,0.45618662238121,-0.157531976699829,0.801935851573944,0.551430702209473,0.455746293067932,0.00285426853224635,0.99966835975647,0.495140224695206,0.449898540973663,-0.00285667204298079,0.999831259250641,0.555235683917999,0.628144502639771,-0.0381996110081673,0.971205055713654,0.488462239503861,0.628860175609589,-0.0392361022531986,0.983492434024811,0.56679755449295,0.809546172618866,0.0547058545053005,0.956687808036804,0.481761038303375,0.813153684139252,0.0705735385417938,0.982305288314819,0.558900117874146,0.84395831823349,0.0563152953982353,0.881447911262512,0.488290280103683,0.842761337757111,0.0712521597743034,0.879602789878845,0.601879119873047,0.85680615901947,-0.0761708170175552,0.953655242919922,0.46577051281929,0.85676634311676,-0.0600002333521843,0.972858667373657
up,0.525143802165985,0.123617000877857,-0.248974815011024,0.999975264072418,0.53050047159195,0.111224606633186,-0.229898974299431,0.999916255474091,0.533966183662415,0.112192049622536,-0.22995088994503,0.999902248382568,0.536812365055084,0.113288134336472,-0.22998072206974,0.99990177154541,0.520167887210846,0.109719328582287,-0.233371019363403,0.999931395053864,0.516730785369873,0.109903506934643,-0.233399480581284,0.999923467636108,0.513378918170929,0.110372722148895,-0.233428716659546,0.999927461147308,0.539510309696198,0.124011412262917,-0.113813310861588,0.999724805355072,0.508807957172394,0.120043367147446,-0.133099973201752,0.999863684177399,0.531054556369782,0.141693517565727,-0.206517934799194,0.999932885169983,0.517029583454132,0.140992730855942,-0.211325511336327,0.999947190284729,0.567160964012146,0.233029156923294,-0.0417101010680199,0.999836087226868,0.47618380188942,0.227414146065712,-0.068428173661232,0.999933063983917,0.57725340127945,0.346891939640045,-0.0316160619258881,0.946548402309418,0.461613923311234,0.349538683891296,-0.0348670296370983,0.972029626369476,0.581454932689667,0.445611894130707,-0.150426432490349,0.893064856529236,0.461063325405121,0.451245784759522,-0.110998824238777,0.925696611404419,0.585543990135193,0.478075832128525,-0.183136358857155,0.815973997116089,0.458960860967636,0.484441012144089,-0.136939987540245,0.870664179325104,0.579859614372253,0.475598305463791,-0.214117854833603,0.826853334903717,0.464809000492096,0.482054829597473,-0.168172925710678,0.877725183963776,0.576322913169861,0.466476708650589,-0.165617734193802,0.801617980003357,0.467011839151382,0.472768634557724,-0.125222280621529,0.860240340232849,0.550231695175171,0.474496513605118,0.00786735862493515,0.999526739120483,0.49287748336792,0.472061634063721,-0.00783147569745779,0.999732077121735,0.558365285396576,0.647157073020935,0.0084020821377635,0.979018986225128,0.4842149913311,0.653860092163086,-0.0195157714188099,0.989325344562531,0.568807065486908,0.814482927322388,0.114530920982361,0.979895651340485,0.474520325660706,0.819906949996948,0.100914351642132,0.987366437911987,0.56032007932663,0.844988465309143,0.117808744311333,0.885001659393311,0.47722589969635,0.845227062702179,0.105094961822033,0.822813749313355,0.601305603981018,0.859872579574585,-0.00375033309683204,0.971406042575836,0.471955358982086,0.858628273010254,-0.0212812628597021,0.975974023342133
up,0.523977041244507,0.122469261288643,-0.283565878868103,0.999974727630615,0.529505133628845,0.110314577817917,-0.265672326087952,0.999913990497589,0.532850921154022,0.111176691949368,-0.265719085931778,0.999900043010712,0.535472512245178,0.112147070467472,-0.265750676393509,0.999901175498962,0.519165337085724,0.108973979949951,-0.268392264842987,0.999928176403046,0.5157550573349,0.109312020242214,-0.268420338630676,0.999918758869171,0.512464642524719,0.109826259315014,-0.268450856208801,0.999922573566437,0.53867518901825,0.122488670051098,-0.151966512203217,0.99972277879715,0.50782698392868,0.119707174599171,-0.165696159005165,0.999849081039429,0.530446887016296,0.140879794955254,-0.240652456879616,0.999932706356049,0.516556322574616,0.14026865363121,-0.244711682200432,0.99994421005249,0.566955864429474,0.232168540358543,-0.0732924193143845,0.999841511249542,0.475963890552521,0.226637780666351,-0.09325360506773,0.999931395053864,0.578320920467377,0.346492201089859,-0.0296777207404375,0.948661267757416,0.46305039525032,0.351455271244049,-0.050215270370245,0.968495428562164,0.583121597766876,0.445386081933975,-0.132511302828789,0.896113574504852,0.461760729551315,0.455439895391464,-0.128600880503654,0.918437361717224,0.586753129959106,0.478485614061356,-0.164602860808373,0.820801258087158,0.460473239421845,0.488326907157898,-0.155920296907425,0.861997246742249,0.581286251544952,0.475785613059998,-0.195557504892349,0.83138120174408,0.46525114774704,0.486889749765396,-0.189606264233589,0.869511246681213,0.577682375907898,0.466748654842377,-0.148437365889549,0.805983603000641,0.467239052057266,0.478627294301987,-0.143672227859497,0.851586818695068,0.550178587436676,0.47150644659996,0.00714367395266891,0.999525606632233,0.49405562877655,0.470667660236359,-0.00714128464460373,0.99973326921463,0.555340230464935,0.645625412464142,0.00831430312246084,0.97820919752121,0.485437095165253,0.652707934379578,-0.0162644106894732,0.988973438739777,0.568226635456085,0.811868727207184,0.117297798395157,0.979103803634644,0.475504517555237,0.818484842777252,0.111721634864807,0.987109303474426,0.559700191020966,0.842581450939179,0.120259888470173,0.880598247051239,0.478318244218826,0.841558635234833,0.11593746393919,0.821350395679474,0.598636984825134,0.85967892408371,-0.00601656921207905,0.970449507236481,0.471607178449631,0.858492732048035,-0.0148958303034306,0.975399613380432
up,0.524349510669708,0.116573981940746,-0.302760303020477,0.999973952770233,0.53036767244339,0.106886796653271,-0.28424260020256,0.999910175800324,0.533572614192963,0.108254715800285,-0.284279942512512,0.99989652633667,0.536280810832977,0.109658464789391,-0.284306347370148,0.999896705150604,0.519823849201202,0.105438850820065,-0.288360595703125,0.999924182891846,0.516337811946869,0.106053315103054,-0.288390636444092,0.999915480613709,0.512940108776093,0.107055656611919,-0.288415551185608,0.999917507171631,0.539794981479645,0.121392853558064,-0.166637375950813,0.99970805644989,0.508034944534302,0.118949875235558,-0.186776548624039,0.999837934970856,0.53111606836319,0.135980933904648,-0.258288949728012,0.999929845333099,0.516630053520203,0.134867161512375,-0.264215528964996,0.999939560890198,0.567576706409454,0.231801047921181,-0.0784773156046867,0.999829232692719,0.476423799991608,0.22640660405159,-0.112862795591354,0.999930322170258,0.578849673271179,0.346325397491455,-0.0120768072083592,0.942753076553345,0.467589020729065,0.353198438882828,-0.0650848373770714,0.964475750923157,0.58555144071579,0.447597503662109,-0.0926107615232468,0.878795623779297,0.466628640890121,0.459470063447952,-0.140075653791428,0.908165693283081,0.58978670835495,0.480559915304184,-0.113731622695923,0.796277344226837,0.463637471199036,0.491050273180008,-0.166154801845551,0.848051607608795,0.585279107093811,0.478189945220947,-0.14960540831089,0.808909773826599,0.466375440359116,0.489028602838516,-0.200174182653427,0.856173276901245,0.581232070922852,0.470540255308151,-0.108869798481464,0.783936083316803,0.469302177429199,0.481001853942871,-0.155136048793793,0.836910843849182,0.551542460918427,0.467788368463516,0.00824483297765255,0.999516248703003,0.495220929384232,0.46852645277977,-0.00827228929847479,0.999723613262177,0.556384742259979,0.64159506559372,0.00231237104162574,0.976598680019379,0.49289470911026,0.647684633731842,-0.0176341962069273,0.987922608852387,0.56700587272644,0.809311449527741,0.123698703944683,0.978037655353546,0.478566974401474,0.815136075019836,0.121805191040039,0.986405849456787,0.557217717170715,0.84082019329071,0.127002060413361,0.877480924129486,0.480755686759949,0.838815271854401,0.127092629671097,0.817540228366852,0.597292065620422,0.859171330928803,0.00614971667528153,0.969401061534882,0.47193431854248,0.858373165130615,-0.00632048910483718,0.974703788757324
up,0.524605631828308,0.114376358687878,-0.282437324523926,0.999973356723785,0.530691862106323,0.105148307979107,-0.263561993837357,0.999907910823822,0.53382796049118,0.106673441827297,-0.26361671090126,0.999894380569458,0.536608159542084,0.108190536499023,-0.263641983270645,0.999894618988037,0.520383536815643,0.103205986320972,-0.267988622188568,0.999920248985291,0.516924262046814,0.103623539209366,-0.268009185791016,0.999910831451416,0.513656079769135,0.104432463645935,-0.268036156892777,0.999910891056061,0.540258944034576,0.120714865624905,-0.147057682275772,0.999699532985687,0.508473634719849,0.117297321557999,-0.169465199112892,0.999819993972778,0.531193017959595,0.134389534592628,-0.238718912005425,0.999926030635834,0.516912877559662,0.132356345653534,-0.245176181197166,0.999932765960693,0.567545890808106,0.231395289301872,-0.0656675472855568,0.999819755554199,0.476682811975479,0.225498646497726,-0.0984639227390289,0.999920427799225,0.579134225845337,0.344576776027679,-0.00981120392680168,0.939086437225342,0.470016330480576,0.351494312286377,-0.0490306653082371,0.957143306732178,0.586914002895355,0.446710526943207,-0.102047920227051,0.870995283126831,0.467422664165497,0.455826610326767,-0.125004023313522,0.894292116165161,0.591153681278229,0.479954928159714,-0.126259475946426,0.78437465429306,0.464472442865372,0.486631780862808,-0.150666609406471,0.831136167049408,0.586388289928436,0.477540194988251,-0.160929828882217,0.798355042934418,0.46729964017868,0.484023869037628,-0.1860072016716,0.840581595897675,0.582391321659088,0.469427973031998,-0.118081890046597,0.77363646030426,0.470383286476135,0.475507825613022,-0.141138359904289,0.821305513381958,0.553304672241211,0.465979218482971,0.0088834660127759,0.999503791332245,0.49684876203537,0.466505199670792,-0.00890404265373945,0.999705195426941,0.55721390247345,0.638979732990265,0.0038054168689996,0.974256038665772,0.49371936917305,0.643933415412903,-0.0204702336341143,0.986186325550079,0.565000474452972,0.808789432048798,0.110179133713245,0.976105213165283,0.478935062885284,0.813149333000183,0.1117272824049,0.985135912895203,0.554546296596527,0.839913010597229,0.112688787281513,0.872833073139191,0.480859726667404,0.83689159154892,0.115814357995987,0.811621725559235,0.597007989883423,0.859220862388611,-0.010806224308908,0.967387139797211,0.473489820957184,0.857305347919464,-0.0155794881284237,0.973071992397308
up,0.52616822719574,0.11245796084404,-0.286757558584213,0.999974668025971,0.531717300415039,0.103726200759411,-0.267759799957275,0.99991238117218,0.534742653369904,0.105292119085789,-0.267804771661758,0.99989914894104,0.537575721740723,0.106910243630409,-0.267820149660111,0.999898493289948,0.522247135639191,0.101573675870895,-0.271383792161942,0.999925255775452,0.518630683422089,0.101863227784634,-0.271427243947983,0.99991649389267,0.515396475791931,0.102524116635323,-0.271474719047546,0.999916851520538,0.540479779243469,0.120188042521477,-0.152077674865723,0.999710321426392,0.508887827396393,0.115971431136131,-0.171157196164131,0.99983811378479,0.531839549541473,0.132811322808266,-0.243676215410233,0.999928832054138,0.517762720584869,0.13057453930378,-0.249187812209129,0.999937891960144,0.56752210855484,0.231261745095253,-0.0749492198228836,0.999815821647644,0.476884722709656,0.225310772657394,-0.0997527465224266,0.999926567077637,0.57927018404007,0.345299184322357,-0.0336541272699833,0.938811302185059,0.46731773018837,0.349650263786316,-0.0563701428472996,0.961745262145996,0.586760938167572,0.446244210004807,-0.144115969538689,0.87569135427475,0.463882446289063,0.45247146487236,-0.134976863861084,0.905108392238617,0.59084552526474,0.480389565229416,-0.17282646894455,0.791813671588898,0.462220251560211,0.485579371452332,-0.162641137838364,0.844932436943054,0.585649907588959,0.477311253547668,-0.207590788602829,0.805123627185822,0.466719299554825,0.482405930757523,-0.195653215050697,0.853646516799927,0.581635355949402,0.468134433031082,-0.160579234361649,0.780515074729919,0.469253689050674,0.473072469234467,-0.149753615260124,0.835298359394074,0.553302049636841,0.470353037118912,0.00874108448624611,0.999503374099731,0.496141463518143,0.471334546804428,-0.00873817782849073,0.999719798564911,0.559678792953491,0.641963303089142,0.0138056287541986,0.975303053855896,0.486154288053513,0.649302065372467,-0.0202933773398399,0.987317204475403,0.565504908561707,0.811036169528961,0.128876179456711,0.976797461509705,0.476724922657013,0.814277648925781,0.115195967257023,0.985946953296661,0.554925560951233,0.842865884304047,0.132174983620644,0.878867387771606,0.479865044355392,0.838301956653595,0.119971670210361,0.818205654621124,0.599336624145508,0.859958291053772,0.00937748048454523,0.968458712100983,0.473472535610199,0.858095824718475,-0.0110260061919689,0.974217891693115
up,0.532818078994751,0.206273794174194,-0.308633834123611,0.999984920024872,0.536072790622711,0.192379683256149,-0.28737011551857,0.999947607517242,0.53832471370697,0.193188741803169,-0.28736999630928,0.999939203262329,0.540496647357941,0.194020882248878,-0.287365943193436,0.999938189983368,0.52843177318573,0.189781248569489,-0.292012900114059,0.999956369400024,0.525175034999847,0.189052999019623,-0.29208767414093,0.999951124191284,0.521971344947815,0.18862971663475,-0.292048096656799,0.999951660633087,0.540899038314819,0.202160269021988,-0.179777875542641,0.999827206134796,0.514893889427185,0.196611285209656,-0.192890465259552,0.999908149242401,0.534434318542481,0.223512783646584,-0.270249098539352,0.999957621097565,0.524433493614197,0.222460776567459,-0.273915261030197,0.999964654445648,0.56951779127121,0.314295768737793,-0.109569571912289,0.999876439571381,0.477496117353439,0.311669647693634,-0.129492536187172,0.999956846237183,0.585716664791107,0.430810511112213,-0.0805434435606003,0.961106657981873,0.460512548685074,0.439936965703964,-0.108462780714035,0.977077782154083,0.596799254417419,0.537915945053101,-0.181162968277931,0.91999876499176,0.452299416065216,0.553111016750336,-0.184941321611404,0.943899512290955,0.603296160697937,0.571154177188873,-0.209135457873344,0.85679167509079,0.446605771780014,0.586496889591217,-0.210810407996178,0.902287065982819,0.597140192985535,0.571363091468811,-0.236225381493568,0.866068720817566,0.453286677598953,0.585402548313141,-0.239575073122978,0.908040463924408,0.592323243618012,0.561982095241547,-0.194258689880371,0.846199333667755,0.458211302757263,0.575946092605591,-0.198284730315208,0.894585013389587,0.552234649658203,0.532484948635101,0.00884366314858198,0.999622881412506,0.495911598205566,0.531873047351837,-0.00892353057861328,0.999810695648193,0.572169184684753,0.653440713882446,-0.231056228280067,0.979084134101868,0.476148635149002,0.661824703216553,-0.216825395822525,0.989914953708649,0.564615428447723,0.825628817081451,-0.0904413238167763,0.977205514907837,0.474405825138092,0.830493092536926,-0.0666039437055588,0.986913323402405,0.556708872318268,0.854300916194916,-0.083090640604496,0.901949226856232,0.482003271579742,0.857403576374054,-0.0594402328133583,0.850462853908539,0.608108878135681,0.876966118812561,-0.202305540442467,0.969197571277618,0.461232542991638,0.868699789047241,-0.185127958655357,0.975405275821686
